country,prct_rpt_pollution,prct_env_satis_high,prct_env_satis_med,prct_env_satis_low,prct_job_satis_high,prct_job_satis_med,prct_job_satis_low,prct_life_satis_high,prct_life_satis_med,prct_life_satis_low,political_trust_rating,median_income,legal_trust_rating,prct_budget_veryhard,prct_budget_hard,prct_budget_somehard,prct_budget_someeasy,prct_budget_easy,prct_budget_veryeasy,prct_rpt_crime,prct_leisure_satis_high,prct_leisure_satis_med,prct_leisure_satis_low,med_income_underemp,prct_close_relat,prct_low_savings,avg_temp,avg_high_temp,avg_low_temp,avg_precipitation,life_expect,unemp_rate,police_trust_rating,gdp,prct_health_verygood,prct_health_good,prct_health_fair,prct_health_bad,prct_health_verybad,total_pop,prct_yng_adt_pop,avg_hrs_worked,hard_budget,easy_budget,med_budget,bad_health,good_health
Portugal,13.1,19.6,42.6,37.8,24.5,50.4,25.1,13.8,45.7,40.5,17.0,37.64808362369338,29.0,17.0,19.7,34.5,21.3,7.0,0.5,7.8,23.9,40.6,35.5,9.1,90.4,38.3,60.4,68.3,54.2,32.5,81.3,112.0,54.0,5.90128164556962,8.7,39.0,36.4,12.1,3.8,13.11175966730805,17.0740447661458,39.4,36.7,7.5,55.8,15.899999999999999,47.7
Romania,14.5,29.1,55.8,15.0,20.4,61.6,18.0,19.7,63.7,16.7,48.0,16.45993031358885,58.0,18.1,26.0,40.9,11.7,2.6,0.7,14.1,18.0,59.6,22.4,8.2,95.6,54.5,47.6,57.1,41.1,24.7,75.3,59.0,64.0,5.3922025316455695,26.6,43.9,22.3,6.0,1.2,24.9787610949041,18.775327519261502,39.9,44.1,3.3,52.599999999999994,7.2,70.5
Slovenia,15.9,42.3,40.1,17.6,29.1,51.5,19.3,20.4,55.2,24.4,18.0,53.13588850174216,27.0,8.0,17.9,37.2,22.8,12.2,1.8,8.5,24.7,45.7,29.6,7.4,96.4,41.7,46.4,53.8,38.7,49.1,81.2,80.0,55.0,1.277126582278481,20.3,44.2,25.5,8.2,1.7,2.545079759170753,18.308799822845604,39.3,25.9,14.0,60.0,9.899999999999999,64.5
Slovakia,9.3,22.8,48.9,28.3,29.2,48.5,22.3,25.0,48.6,26.4,35.0,36.46689895470383,36.0,10.1,19.5,41.3,23.6,4.7,0.7,6.9,26.6,44.0,29.4,6.5,97.9,37.9,43.2,53.0,36.0,26.2,77.3,97.0,44.0,2.5704462025316457,22.4,44.1,21.8,9.1,2.6,6.699815033207125,21.908599460889302,40.1,29.6,5.4,64.9,11.7,66.5
Finland,7.2,34.7,56.3,9.0,40.8,54.6,4.7,38.6,55.5,6.0,60.0,69.67595818815332,72.0,2.3,4.6,17.6,32.8,25.8,16.9,6.5,35.9,51.6,12.5,11.4,98.1,29.4,36.6,43.9,31.3,21.9,81.5,88.0,82.0,6.837753164556962,20.2,50.1,23.8,5.0,0.9,6.6728024331202285,18.7139599901475,36.7,6.8999999999999995,42.7,50.4,5.9,70.3
Sweden,6.3,34.7,51.0,14.4,34.5,52.5,13.0,34.4,56.6,9.0,55.0,73.01393728222996,67.0,3.1,4.5,11.1,33.1,26.1,22.1,12.7,33.2,44.9,21.9,8.5,97.3,20.7,40.3,46.7,33.6,22.6,82.4,70.0,71.0,14.656566455696202,29.0,46.0,19.2,4.5,1.2,11.771901185525417,19.3862924193189,36.4,7.6,48.2,44.2,5.7,75.0
United Kingdom,9.0,38.2,50.6,11.3,28.0,49.6,22.4,27.8,53.2,19.1,38.0,60.26480836236934,55.0,6.8,9.5,24.3,32.9,16.5,10.0,16.8,29.0,41.7,29.3,11.3,93.1,38.0,48.8,55.3,42.9,29.7,81.2,48.0,64.0,76.05641139240507,30.8,38.1,22.2,6.9,1.9,78.43359195580659,19.942316013787398,36.6,16.3,26.5,57.2,8.8,68.9
Iceland,7.9,29.2,56.6,14.2,42.3,48.0,9.6,38.1,52.4,9.5,37.0,77.32752613240419,57.0,6.2,7.9,20.9,34.9,15.7,14.3,2.2,35.0,43.0,22.0,4.3,96.4,30.9,38.5,43.1,34.2,38.1,82.2,30.0,77.0,0.5900664556962025,38.3,37.7,17.4,5.0,1.5,0.39172739122338773,21.5933146573033,39.3,14.100000000000001,30.0,55.8,6.5,76.0
Norway,6.8,48.1,45.8,6.1,39.1,53.6,7.2,35.6,54.1,10.3,59.0,96.41114982578397,72.0,2.0,3.4,8.7,29.8,33.9,22.2,4.6,30.2,45.3,24.5,7.7,97.1,18.1,39.8,44.1,33.8,44.2,82.5,47.0,75.0,10.62492088607595,28.8,48.4,15.1,6.4,1.3,6.182054496927565,19.5865463817537,33.8,5.4,56.099999999999994,38.5,7.7,77.2
Switzerland,8.9,41.8,46.2,12.0,36.6,54.9,8.5,38.5,53.5,8.0,66.0,96.48780487804878,70.0,3.7,8.9,16.5,29.0,30.0,11.9,10.9,25.8,46.7,27.5,5.5,95.7,21.0,42.5,50.8,35.8,46.7,83.7,50.0,74.0,19.169420886075947,33.2,44.5,17.8,3.8,0.7,9.874820929799515,18.4457868857281,34.7,12.600000000000001,41.9,45.5,4.5,77.7
Turkey,24.5,18.3,42.3,39.5,18.3,39.5,42.2,11.1,38.6,50.3,49.0,22.65156794425087,54.0,6.8,26.3,36.1,20.2,10.1,0.5,10.7,12.2,36.4,51.5,10.1,95.9,34.4,54.2,63.9,44.6,25.7,78.1,109.0,65.0,24.690661392405065,6.5,62.3,21.7,8.3,1.3,9.874820929799515,18.7139599901475,46.8,33.1,10.6,56.3,9.600000000000001,68.8
